Document,Question,Answer
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The inform
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Are tool or technology issues contributing factors to this accident?,"No, tool o"
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The contri
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The contri
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_WPR17FA047_94565_2_2_2025 10_11_07 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
