Document,Question,Answer
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,Yes
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Are tool or technology issues contributing factors to this accident?,No.
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The contri
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The findin
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is perceptual error one of the contributing factors to this accident?,Perceptual
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_WPR19FA175_99658_2_2_2025 10_01_16 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",The contri
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The contri
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The contri
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The probab
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is routine violation one of the contributing factors to this accident?,There is n
Report_WPR19FA188_99849_2_2_2025 10_01_12 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,Yes
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The contri
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,The invest
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The analys
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,There is n
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, the p"
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is perceptual error one of the contributing factors to this accident?,"Yes, perce"
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_WPR19LA071_98851_2_2_2025 10_01_54 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
